booking_id,user_id,game_id,booked_at,amount_paid,join_type,was_refunded,left_at,sport,day_of_week,hour_of_day,neighborhood,skill_level,cost_per_player,dist_km
b762f796-6496-4f68-b525-d3bc99d4a322,18bc79e0-fa16-4455-843b-657ce177260f,bcd80994-8000-4f7a-b6a9-1acd3ebb5b6e,2024-10-22T00:02:19,3.0,instant,0,,baseball,3,20,Corktown,beginner,3.0,521.64
fe83c19e-300e-490a-a7ff-e72b3b2c679b,18bc79e0-fa16-4455-843b-657ce177260f,12f22589-a8bb-43dd-a4df-a23c7a30a2cc,2024-04-07T00:00:50,7.0,instant,0,,frisbee,3,9,Wingra,all,7.0,3.42
84784382-de28-49f2-b4ff-97db58894582,18bc79e0-fa16-4455-843b-657ce177260f,6fe39d13-5141-4034-a6b1-70259cad0e64,2025-01-16T00:03:32,15.0,instant,0,,basketball,5,8,Midtown,intermediate,15.0,529.42
1ebfe828-d9a8-4c5e-b7f7-fc923bfe44b2,18bc79e0-fa16-4455-843b-657ce177260f,077fa837-7958-42dc-a1d0-ca588192dd15,2025-04-17T00:04:57,7.0,instant,0,,soccer,1,7,Uptown,all,7.0,371.79
72a3903a-099b-4e57-ad66-720013e05fd1,ece6b760-1db3-4f6e-9228-90c36c1562bd,614da1dc-e816-446a-b58e-7d62038409a5,2025-06-05T00:02:45,0.0,request,0,,badminton,5,18,Midtown,beginner,0.0,2.26
d1476fde-518d-4db5-a579-ab261d101f02,ece6b760-1db3-4f6e-9228-90c36c1562bd,af5ec225-ad93-4c00-a3cc-1c5648a227e0,2024-12-17T00:02:03,7.0,instant,0,,badminton,3,8,Midtown,all,7.0,3.24
746e43eb-4edc-434d-abb3-777cc9bfee7f,ece6b760-1db3-4f6e-9228-90c36c1562bd,a7397b11-1631-444f-b5d4-b25ec4453ece,2024-12-17T00:02:51,10.0,request,0,,hockey,0,17,Pilsen,advanced,10.0,567.91
0cdd1abe-4679-4268-987e-acc29592787e,ece6b760-1db3-4f6e-9228-90c36c1562bd,6da2e768-9fbf-4b85-84a3-1a56fbb0e312,2025-05-02T00:01:44,0.0,request,0,,badminton,1,18,Walker's Point,all,0.0,477.59
103e37ed-ef20-4aeb-b8f7-cb2c98490cb8,ece6b760-1db3-4f6e-9228-90c36c1562bd,b8647afa-fe6a-4bdb-a01a-f7a421209990,2025-04-19T00:01:03,3.0,instant,0,,soccer,1,19,Bay View,intermediate,3.0,473.2
ecf12849-42ee-4c41-919a-6fb513156134,ece6b760-1db3-4f6e-9228-90c36c1562bd,8b3feff8-9da5-4291-89b0-4bcf5fabb796,2025-04-19T00:01:02,0.0,request,0,,baseball,3,10,Seward,beginner,0.0,2.17
